SMILES,MolecularWeight,LogP,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA
Nc1ccccc1S(=O)(=O)N,172.030648496,-0.08379999999999999,1,3,2,86.18
ONC(=O)Cc1ccccc1,151.063328528,0.7344999999999997,2,2,2,49.33
COC(=O)c1ccc(O)c(O)c1,168.042258736,0.8843999999999999,1,4,2,66.76
CCCC(C)NS(=O)(=O)c1ccc(C)cc1,241.113649848,2.461920000000001,5,2,1,46.17
Nc1ccc(cc1Cl)S(=O)(=O)N,205.991676144,0.5696000000000001,1,3,2,86.18
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C(=O)CCCC#C,300.208930136,4.973400000000005,4,2,1,37.3
OC(=O)c1cc(O)c(O)c(O)c1,170.021523292,0.5015999999999998,1,4,4,97.99000000000001
CC(N)COc1c(C)cccc1C,179.131014164,2.02944,3,2,1,35.25
COc1cc(CCNS(=O)(=O)N)cc(OC)c1OC,290.093642676,0.04800000000000093,7,5,2,99.88000000000001
NC(=N)Nc1ccc(cc1)C(=O)O,179.069476528,0.69017,2,2,4,99.2
CC(C)(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N,317.1739415960001,2.35738,6,4,2,91.22
CC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1,273.068719524,3.9527000000000028,3,2,1,29.1
Nc1ccc(cc1)S(=O)(=O)NCCC(F)F,250.058755064,1.2023000000000001,5,3,2,72.19
NS(=O)(=O)c1ccc(CCO)cc1,201.045964212,-0.13120000000000015,3,3,2,80.39
CCOC(=O)c1c(O)cccc1O,182.0579088,1.2744999999999997,2,4,2,66.76
CCSC(=S)SCC(=O)c1ccc(OC)cc1,286.015592688,3.6491000000000025,5,5,0,26.3
COCc1c(C)c(O)c(O)c(O)c1C=O,212.068473484,1.0707199999999997,3,5,3,86.99000000000001
Nc1c(Cl)c(Cl)c(cc1S(=O)(=O)N)S(=O)(=O)N,318.925503064,-0.1295999999999996,2,5,3,146.34
Oc1c(O)c(Br)c(Br)cc1Br,343.76831563600007,3.3853,0,2,2,40.46
CC(C)OC(=O)c1ccc(O)c(O)c1,196.073558864,1.663,2,4,2,66.76
CC(C)(C)OC(=O)N[C@@H](Cc1cccc(F)c1)C(=O)NCC#N,321.14886972000005,1.9012799999999999,5,4,2,91.22
CCCNC(=O)c1cc(cc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C)N(C)S(=O)(=O)C,639.3665700360001,2.4192000000000027,17,7,5,174.01
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,307.25112929600004,3.204300000000001,12,3,3,66.48
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,285.10347908800003,2.1955,7,3,1,74.68
NS(=O)(=O)c1ccc(NC(=O)CCS)c(F)c1,278.019512432,0.7315000000000005,4,4,3,89.25999999999999
CC(C)C[C@H](NC(c1ccc(Br)cc1)C(F)(F)F)C(=O)NCC#N,405.06635898800005,3.6965800000000018,7,3,2,64.92
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)NCC#N,321.14886972000005,1.90128,5,4,2,91.22
